"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D0120","Periodic oral evaluation","Dental","Yes",,"$34.94","$32.93","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year. Codes D0120, D0145, D0150, and D0180 share limits. Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry. services."
"D0140","Limit oral eval problm focus","Dental","Yes",,"$51.91","$50.84","Yes","No","Yes","No","No","No","No","No","Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0145","Oral evaluation, pt < 3yrs","Dental","Yes","Covered for under age 3","$47.27","$0.00","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year. Codes D0120, D0145, D0150, and D0180 share limits. Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0150","Comprehensve oral evaluation","Dental","Yes",,"$52.16","$54.71","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year. Codes D0120, D0145, D0150, and D0180 share limits."
"D0160","Extensv oral eval prob focus","Dental","Yes",,"$121.24","$130.46","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
"D0170","Re-eval,est pt,problem focus","Dental","Yes",,"$32.55","$37.66","Yes","No","Yes","No","No","No","No","No","Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0171","Re-evaluation - post operative visit","Dental","Yes",,"$32.55","$37.66","Yes","No","Yes","No","No","No","No","No","Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0180","Comp periodontal evaluation","Dental","Yes",,"$49.12","$59.10","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year. Codes D0120, D0145, D0150, and D0180 share limits."
"D0190","Screening of a patient","Dental","Yes",,"$22.57","$22.57","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year (D0190, D0191). Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0191","Assessment of a patient","Dental","Yes",,"$22.57","$22.57","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year (D0190, D0191). Service is allowed for teledentistry. Code D9995 or D9996 is required when billing teledentistry services."
"D0210","Intraor comprehensive series","Dental","Yes",,"$109.36","$99.00","No","No","No","No","No","No","No","No","Service authorization is required for more than 1 each calendar year"
"D0220","Intraoral periap 1st rad image","Dental","Yes",,"$22.98","$20.31","No","No","No","No","Yes","No","No","No","Limit of 1 unit each day"
