"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4206","1 CC sterile syringe&needle","DME-Purchase","Yes",,,,"$0.55","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","60 units allowed every month"
"A4207","2 CC sterile syringe&needle","DME-Purchase","Yes",,,,"$0.44","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","60 units allowed every month"
"A4208","3 CC sterile syringe&needle","DME-Purchase","Yes",,,,"$0.55","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","60 units allowed every month"
"A4209","5+ CC sterile syringe&needle","DME-Purchase","Yes",,,,"$0.72","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","150 units allowed every month"
"A4212","Non coring needle or stylet","DME-Purchase","Yes",,,,"$13.27","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","60 units allowed every month"
"A4213","20+ CC syringe only","DME-Purchase","Yes",,,,"$0.72","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","50 units allowed every month"
"A4215","Sterile needle","DME-Purchase","Yes",,,,"$0.40","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","60 units allowed every month"
"A4216","Sterile water/saline, 10 ml","DME-Purchase","Yes",,,,"$0.73","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4217","Sterile water/saline, 500 ml","DME-Purchase","Yes",,,,"$3.83","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","35 units allowed every month"
"A4220","Infusion pump refill kit","DME-Purchase","Yes",,,,"$70.64","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","5 units allowed every month"
