"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,,,,
"ND Medicaid Professional Services Fee Schedule",,,,,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Telehealth Allowed","Modifier Required","Professional Rate","Technical Rate","General Rate","ASC Rate","NDC Required","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","Service Authorization Required","LCD/NCD","EVV","General Notes"
"0001U","Rbc dna hea 35 ag 11 bld grp","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,"Covered for QMB only"
"0002M","Liver dis 10 assays w/ash","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0002U","Onc clrct 3 ur metab alg plp","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0003M","Liver dis 10 assays w/nash","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0003U","Onc ovar 5 prtn ser alg scor","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0004M","Scoliosis dna alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0005U","Onco prst8 3 gene ur alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0006M","Onc hep gene risk classifier","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0007M","Onc gastro 51 gene nomogram","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0007U","Rx test prsmv ur w/def conf","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0008U","Hpylori detcj abx rstnc dna","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0009U","Onc brst ca erbb2 amp/nonamp","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0010U","Nfct ds strn typ whl gen seq","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0011M","Onc prst8 ca mrna 12 gen alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0011U","Rx mntr lc-ms/ms oral fluid","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0012M","Onc mrna 5 gen rsk urthl ca","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0013M","Onc mrna 5 gen recr urthl ca","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0015M","Adrnl cortcl tum bchm asy 25","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0016M","Onc bladder mrna 219 gen alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0016U","Onc hmtlmf neo rna bcr/abl1","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0017M","Onc dlbcl mrna 20 genes alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0017U","Onc hmtlmf neo jak2 mut dna","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0018M","Trnsplj rnl meas cd154+cll","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0018U","Onc thyr 10 microrna seq alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0019M","Cv ds plasma alys prtn bmrk","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0019U","Onc rna tiss predict alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0020M","Onc cns alys 30000 dna loci","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0021U","Onc prst8 detcj 8 autoantb","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0022U","Trgt gen seq dna&rna 1-23 gn","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0023U","Onc aml dna detcj/nondetcj","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0024U","Glyca nuc mr spectrsc quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0025U","Tenofovir liq chrom ur quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0026U","Onc thyr dna&mrna 112 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0027U","Jak2 gene trgt seq alys","Professional","Yes",,"No",,,,"$121.91","Not Allowed","No","No","No","No","Yes","Yes, this service is authorized through Acentra.",,,"Service authorization is not required when the member has Medicare primary and the service is covered by Medicare."
"0029U","Rx metab advrs trgt seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0030U","Rx metab warf trgt seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0031U","Cyp1a2 gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0032U","Comt gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0033U","Htr2a htr2c genes","Professional","No",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"0034U","Tpmt nudt15 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0035U","Neuro csf prion prtn qual","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0036U","Xome tum & nml spec seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0037U","Trgt gen seq dna 324 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0038U","Vitamin d srm microsamp quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0039U","Dna antb 2strand hi avidity","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0040U","Bcr/abl1 gene major bp quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0041U","B brgdrferi antb 5 prtn igm","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0042T","Ct perfusion w/contrast cbf","Professional","Yes",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"0042U","B brgdrferi antb 12 prtn igg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0043U","Tbrf b grp antb 4 prtn igm","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0044U","Tbrf b grp antb 4 prtn igg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0045U","Onc brst dux carc is 12 gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0046U","Flt3 gene itd variants quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0047U","Onc prst8 mrna 17 gene alg","Professional","Yes",,"No",,,,"$3,873.00","Not Allowed","No","No","No","No","Yes","Yes, this service is authorized through Acentra.",,,
"0048U","Onc sld org neo dna 468 gene","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0049U","Npm1 gene analysis quan","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0050U","Trgt gen seq dna 194 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0051U","Rx mntr lc-ms/ms ur 31 pnl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0052U","Lpoprtn bld w/5 maj classes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0054T","Bone srgry cmptr fluor image","Professional","Yes",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0054U","Rx mntr 14+ drugs & sbsts","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
